"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Site Name","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"5","BR","National","2007-2011","TB pts.","U","B","20Y39Y","D0663","National surveillance system records.  1 Jan. 07 - 31 Dec. 11.","P","Brazil","National","do Prado, T. N., A. E. Miranda, F. M. de Souza, et al.",2014,"Factors Associated with Tuberculosis by HIV Status in the Brazilian National Surveillance System: A Cross Sectional Study","BMC Infectious Diseases, vol. 14, pp. 1-8, <http://www.biomedcentral.com/1471-2334/14/415>, accessed on August 7, 2014.","HIV","26,610","-1","21.98","N/A","B","UNK","121,058"
"19","CB","National","2005","Adult TB pts.","U","B","55Y64Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","8","-1","1.71","N/A","BW","RAPID*2, ELISA","468"
"25","CB","National","2005","Adult TB pts.","U","M","45Y54Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","6.50","N/A","BW","RAPID*2, ELISA","215"
"28","CB","National","2005","Pediatric TB pts.","U","F","00Y14Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","3.80","N/A","BW","RAPID*2, ELISA","26"
"18","CB","National","2005","Adult TB pts.","U","B","45Y54Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","26","-1","5.22","N/A","BW","RAPID*2, ELISA","498"
"27","CB","National","2005","Adult TB pts.","U","M","65Y+","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","0.50","N/A","BW","RAPID*2, ELISA","202"
"32","CB","National","2005","Adult TB pts.","U","F","45Y54Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","4.20","N/A","BW","RAPID*2, ELISA","283"
"10","CB","National","2003","Adult TB pts.","U","B","65Y+","T0527","National HIV Sero-Prevalence Survey.  Jan. 03.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","12","-1","4.30","N/A","BW","RAPID*2, ELISA","279"
"6","CB","National","2003","Adult TB pts.","U","B","25Y34Y","T0527","National HIV Sero-Prevalence Survey.  Jan. 03.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","94","-1","27.17","N/A","BW","RAPID*2, ELISA","346"
"17","CB","National","2005","Adult TB pts.","U","B","35Y44Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","103","-1","17.55","N/A","BW","RAPID*2, ELISA","587"
"23","CB","National","2005","Adult TB pts.","U","M","25Y34Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","23.60","N/A","BW","RAPID*2, ELISA","203"
"8","CB","National","2003","Adult TB pts.","U","B","45Y54Y","T0527","National HIV Sero-Prevalence Survey.  Jan. 03.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","25","-1","5.71","N/A","BW","RAPID*2, ELISA","438"
"20","CB","National","2005","Adult TB pts.","U","B","65Y+","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","2","-1","0.52","N/A","BW","RAPID*2, ELISA","381"
"29","CB","National","2005","Adult TB pts.","U","F","15Y24Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","9.90","N/A","BW","RAPID*2, ELISA","111"
"34","CB","National","2005","Adult TB pts.","U","F","65Y+","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","0.60","N/A","BW","RAPID*2, ELISA","179"
"31","CB","National","2005","Adult TB pts.","U","F","35Y44Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","15.70","N/A","BW","RAPID*2, ELISA","286"
"15","CB","National","2005","Adult TB pts.","U","B","15Y24Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","14","-1","6.19","N/A","BW","RAPID*2, ELISA","226"
"33","CB","National","2005","Adult TB pts.","U","F","55Y64Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","2.20","N/A","BW","RAPID*2, ELISA","227"
"22","CB","National","2005","Adult TB pts.","U","M","15Y24Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","2.60","N/A","BW","RAPID*2, ELISA","114"
"21","CB","National","2005","Pediatric TB pts.","U","M","00Y14Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","11.50","N/A","BW","RAPID*2, ELISA","26"
"26","CB","National","2005","Adult TB pts.","U","M","55Y64Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","1.20","N/A","BW","RAPID*2, ELISA","241"
"16","CB","National","2005","Adult TB pts.","U","B","25Y34Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","104","-1","24.76","N/A","BW","RAPID*2, ELISA","420"
"4","CB","National","2003","Pediatric TB pts.","U","B","00Y14Y","T0527","National HIV Sero-Prevalence Survey.  Jan. 03.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","9","-1","15.00","N/A","BW","RAPID*2, ELISA","60"
"14","CB","National","2005","Pediatric TB pts.","U","B","00Y14Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","4","-1","7.69","N/A","BW","RAPID*2, ELISA","52"
"7","CB","National","2003","Adult TB pts.","U","B","35Y44Y","T0527","National HIV Sero-Prevalence Survey.  Jan. 03.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","85","-1","16.90","N/A","BW","RAPID*2, ELISA","503"
"9","CB","National","2003","Adult TB pts.","U","B","55Y64Y","T0527","National HIV Sero-Prevalence Survey.  Jan. 03.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","19","-1","4.73","N/A","BW","RAPID*2, ELISA","402"
"30","CB","National","2005","Adult TB pts.","U","F","25Y34Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","25.80","N/A","BW","RAPID*2, ELISA","217"
"5","CB","National","2003","Adult TB pts.","U","B","15Y24Y","T0527","National HIV Sero-Prevalence Survey.  Jan. 03.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","21","-1","9.72","N/A","BW","RAPID*2, ELISA","216"
"24","CB","National","2005","Adult TB pts.","U","M","35Y44Y","T0527","2nd National HIV Sero-Prevalence Survey.  Jan. 05.  Rapid tests: Serodia & Determine.","P","Cambodia","National","Tamura, M., K. K. Eam, K. Kimura, et al.",2008,"National HIV Prevalence Surveillance among TB Patients Through Periodic Surveys: Experience in Cambodia","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 3, pp. S20-S25.","HIV","-1","-1","19.30","N/A","BW","RAPID*2, ELISA","301"
"7","CT","National","2001-2002","Pregnant women","G","F","40Y44Y","M1388","Sentinel surveillance.  48 sites.  Nov. 01 - Oct. 02.  Also, see M0753.  Rapid test: Determine.","P","Central African Republic","National","Matsika-Claquin, M. D., M. Massanga, D. Menard, et al.",2004,"HIV Epidemic in Central African Republic: High Prevalence Rates in Both Rural and Urban Areas","Journal of Medical Virology, vol. 72, issue 3, pp. 358-362.","HIV","-1","-1","14.50","N/A","BW","ELISA*2, RAPID","165"
"8","CT","National","2001-2002","Pregnant women","G","F","45Y49Y","M1388","Sentinel surveillance.  48 sites.  Nov. 01 - Oct. 02.  Also, see M0753.  Rapid test: Determine.","P","Central African Republic","National","Matsika-Claquin, M. D., M. Massanga, D. Menard, et al.",2004,"HIV Epidemic in Central African Republic: High Prevalence Rates in Both Rural and Urban Areas","Journal of Medical Virology, vol. 72, issue 3, pp. 358-362.","HIV","-1","-1","16.00","N/A","BW","ELISA*2, RAPID","25"
"2","CT","National","2001-2002","Pregnant women","G","F","12Y19Y","M1388","Sentinel surveillance.  48 sites.  Nov. 01 - Oct. 02.  Also, see M0753.  Rapid test: Determine.","P","Central African Republic","National","Matsika-Claquin, M. D., M. Massanga, D. Menard, et al.",2004,"HIV Epidemic in Central African Republic: High Prevalence Rates in Both Rural and Urban Areas","Journal of Medical Virology, vol. 72, issue 3, pp. 358-362.","HIV","-1","-1","12.30","N/A","BW","ELISA*2, RAPID","3,003"
"3","CT","National","2001-2002","Pregnant women","G","F","20Y24Y","M1388","Sentinel surveillance.  48 sites.  Nov. 01 - Oct. 02.  Also, see M0753.  Rapid test: Determine.","P","Central African Republic","National","Matsika-Claquin, M. D., M. Massanga, D. Menard, et al.",2004,"HIV Epidemic in Central African Republic: High Prevalence Rates in Both Rural and Urban Areas","Journal of Medical Virology, vol. 72, issue 3, pp. 358-362.","HIV","-1","-1","14.80","N/A","BW","ELISA*2, RAPID","2,560"
"6","CT","National","2001-2002","Pregnant women","G","F","35Y39Y","M1388","Sentinel surveillance.  48 sites.  Nov. 01 - Oct. 02.  Also, see M0753.  Rapid test: Determine.","P","Central African Republic","National","Matsika-Claquin, M. D., M. Massanga, D. Menard, et al.",2004,"HIV Epidemic in Central African Republic: High Prevalence Rates in Both Rural and Urban Areas","Journal of Medical Virology, vol. 72, issue 3, pp. 358-362.","HIV","-1","-1","13.70","N/A","BW","ELISA*2, RAPID","634"
"4","CT","National","2001-2002","Pregnant women","G","F","25Y29Y","M1388","Sentinel surveillance.  48 sites.  Nov. 01 - Oct. 02.  Also, see M0753.  Rapid test: Determine.","P","Central African Republic","National","Matsika-Claquin, M. D., M. Massanga, D. Menard, et al.",2004,"HIV Epidemic in Central African Republic: High Prevalence Rates in Both Rural and Urban Areas","Journal of Medical Virology, vol. 72, issue 3, pp. 358-362.","HIV","-1","-1","16.90","N/A","BW","ELISA*2, RAPID","1,697"
"5","CT","National","2001-2002","Pregnant women","G","F","30Y34Y","M1388","Sentinel surveillance.  48 sites.  Nov. 01 - Oct. 02.  Also, see M0753.  Rapid test: Determine.","P","Central African Republic","National","Matsika-Claquin, M. D., M. Massanga, D. Menard, et al.",2004,"HIV Epidemic in Central African Republic: High Prevalence Rates in Both Rural and Urban Areas","Journal of Medical Virology, vol. 72, issue 3, pp. 358-362.","HIV","-1","-1","14.10","N/A","BW","ELISA*2, RAPID","1,103"
"2","CY","National","1999","Military recruits","M","M","18Y","K0412","Sentinel Surveillance.  The Army of the Republic of Cyprus, National guard recruits.  Summer & winter 99.","P","Cyprus","National","Kyriakides, T., A. Eleftheriou, N. Michaelides, et al.",2002,"Surveillance of HIV in the Army of the Republic of Cyprus (SHARC); Rationale, Design, and Implementation of an Inexpensive . ..","Sexually Transmitted Infections, vol. 78, no. 1, pp. 50-52.","HIV1","0","-1","0.00","N/A","B","ELISA*2, WB","1,858"
"1","CY","National","1998","Military recruits","M","M","18Y","K0412","Sentinel Surveillance.  The Army of the Republic of Cyprus, National guard recruits.  Summer 98.","P","Cyprus","National","Kyriakides, T., A. Eleftheriou, N. Michaelides, et al.",2002,"Surveillance of HIV in the Army of the Republic of Cyprus (SHARC); Rationale, Design, and Implementation of an Inexpensive . ..","Sexually Transmitted Infections, vol. 78, no. 1, pp. 50-52.","HIV1","0","-1","0.00","N/A","B","ELISA*2, WB","1,300"
"3","CY","National","2000","Military recruits","M","M","18Y","K0412","Sentinel Surveillance.   The Army of the Republic of Cyprus, National guard recruits.  Winter 00.","P","Cyprus","National","Kyriakides, T., A. Eleftheriou, N. Michaelides, et al.",2002,"Surveillance of HIV in the Army of the Republic of Cyprus (SHARC); Rationale, Design, and Implementation of an Inexpensive . ..","Sexually Transmitted Infections, vol. 78, no. 1, pp. 50-52.","HIV1","0","-1","0.00","N/A","B","ELISA*2, WB","265"
"31","HA","National","2000","Pregnant women","G","F","25Y+","G0429","Sentinel surveillance.","P","Haiti","National","Gaillard, E. M., L. M. Boulos, M. P. Andre Cayemittes, et al.",2005,"Understanding the Reasons for Decline of HIV Prevalence in Haiti","Sexually Transmitted Infections, vol. 82, supplement 1, pp. i14-i20.","HIV","0","-1","5.10","N/A","B","UNK","1,600"
"28","HA","National","2000","Pregnant women","G","F","<25Y","G0429","Sentinel surveillance.","P","Haiti","National","Gaillard, E. M., L. M. Boulos, M. P. Andre Cayemittes, et al.",2005,"Understanding the Reasons for Decline of HIV Prevalence in Haiti","Sexually Transmitted Infections, vol. 82, supplement 1, pp. i14-i20.","HIV","0","-1","3.70","N/A","B","UNK","1,252"
"29","HA","National","1993","Pregnant women","G","F","25Y+","G0429","Sentinel surveillance.","P","Haiti","National","Gaillard, E. M., L. M. Boulos, M. P. Andre Cayemittes, et al.",2005,"Understanding the Reasons for Decline of HIV Prevalence in Haiti","Sexually Transmitted Infections, vol. 82, supplement 1, pp. i14-i20.","HIV","0","-1","7.20","N/A","B","UNK","846"
"26","HA","National","1993","Pregnant women","G","F","<25Y","G0429","Sentinel surveillance.","P","Haiti","National","Gaillard, E. M., L. M. Boulos, M. P. Andre Cayemittes, et al.",2005,"Understanding the Reasons for Decline of HIV Prevalence in Haiti","Sexually Transmitted Infections, vol. 82, supplement 1, pp. i14-i20.","HIV","0","-1","4.50","N/A","B","UNK","488"
"27","HA","National","1996","Pregnant women","G","F","<25Y","G0429","Sentinel surveillance.","P","Haiti","National","Gaillard, E. M., L. M. Boulos, M. P. Andre Cayemittes, et al.",2005,"Understanding the Reasons for Decline of HIV Prevalence in Haiti","Sexually Transmitted Infections, vol. 82, supplement 1, pp. i14-i20.","HIV","0","-1","1.70","N/A","B","UNK","1,020"
"30","HA","National","1996","Pregnant women","G","F","25Y+","G0429","Sentinel surveillance.","P","Haiti","National","Gaillard, E. M., L. M. Boulos, M. P. Andre Cayemittes, et al.",2005,"Understanding the Reasons for Decline of HIV Prevalence in Haiti","Sexually Transmitted Infections, vol. 82, supplement 1, pp. i14-i20.","HIV","0","-1","6.80","N/A","B","UNK","1,416"
"8","KE","National","2005-2006","Pediatric TB pts.","U","M","00Y14Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","43","-1","41.35","N/A","B","UNK","104"
"28","KE","National","2005-2006","Adult TB pts.","U","B","65Y+","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","55","-1","22.00","N/A","B","UNK","250"
"27","KE","National","2005-2006","Adult TB pts.","U","B","55Y64Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","204","-1","33.44","N/A","B","UNK","610"
"25","KE","National","2005-2006","Adult TB pts.","U","B","35Y44Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","1,907","-1","56.87","N/A","B","UNK","3,353"
"24","KE","National","2005-2006","Adult TB pts.","U","B","25Y34Y","C1215","National Leprosy & TB Control Programme.  July 05 - June 06.","P","Kenya","National","Chakaya, J. M., J. R. Mansoer, F. Scano, et al.",2008,"National Scale-Up of HIV Testing and Provision of HIV Care to Tuberculosis Patients in Kenya","International Journal of Tuberculosis and Lung Disease, vol. 12, no. 4, pp. 424-429.","HIV","3,093","-1","51.69","N/A","B","UNK","5,984"
